Name,Amount
ARTIS POCO PLACE LTD.,"27,571 "
ARTISAN INFORMATION SYSTEMS INCORPORATED,"217,651 "
ARTMET ENTERPRISES INC.,"417,324 "
AS YOU LIKE IT MEDIA INC.,"75,698 "
ASCENT HELICOPTERS LTD.,"2,336,718 "
"ASHBY, KENT A","29,734 "
ASHCROFT & CO IN TRUST,"2,271,913 "
ASIA PACIFIC FOUNDATION OF CANADA,"87,118 "
ASIAN CANADIAN WRITERS' WORKSHOP SOCIETY,"90,000 "
"ASPELL, ANDRE JAMES","123,216 "
ASPEN DATA EXPERTS INC.,"222,831 "
ASPEN WILDLIFE RESEARCH INC.,"106,418 "
ASPLUNDH CANADA ULC,"154,846 "
ASQ BUILDING LTD.,"670,171 "
ASSMAN'S FUNERAL CHAPEL,"55,741 "
ASSOCIATED BUILDING CREDITS LTD.,"218,490 "
ASSOCIATED ENGINEERING (B.C.) LTD.,"4,747,118 "
ASSOCIATED ENVIRONMENTAL CONSULTANTS INC.,"268,852 "
ASSOCIATED INDEPENDENT ADJUSTERS VICTORIA,"36,442 "
ASTRAF CONSTRUCTION,"84,265 "
ASTROGRAPHIC INDUSTRIES LTD.,"181,575 "
ASTUTE MANAGEMENT CONSULTING INC.,"321,126 "
ATCO STRUCTURES & LOGISTICS LTD.,"38,915 "
"ATEAH, DONNA & ATEAH, RONALD FERADE","28,784 "
ATELIER INVESTMENTS (900 HOWE) INC.,"569,879 "
"ATHERTON, IAN IRVINE","27,563 "
ATHLONE TRAVEL (OAK BAY) LTD.,"40,778 "
ATLANTIC INDUSTRIES LIMITED,"318,472 "
ATLAS VAN LINES (CANADA) LTD.,"350,179 "
ATLASSIAN PTY LTD.,"112,499 "
ATLIN COMMUNITY IMPROVEMENT DISTRICT,"187,581 "
ATLIN TLINGIT ECONOMIC LIMITED PARTNERSHIP,"32,982 "
"ATWAL, NAVDEEP S","69,087 "
AURORA WILDLIFE RESEARCH,"45,555 "
"AUSTIN, AARON","59,495 "
AUSTRALIAN GOVERNMENT DEPARTMENT OF JUSTICE AND REGULATION,"1,667,682 "
"AUTOMIC CANADA LOGICIELS, INC.","89,652 "
AUTUMN HILLS FARM LTD.,"26,142 "
AVALANCHE METAL INDUSTRIES LTD.,"225,774 "
AVATEK MOUNTAIN SYSTEMS INC.,"140,761 "
"AVISON, NEVILLE","25,348 "
AVO VEHICLE OUTFITTING INC.,"197,722 "
AVOCETTE TECHNOLOGIES INC.,"9,721,407 "
AVTAR INVESTMENTS LTD.,"131,305 "
AWA ASPHALT LTD.,"7,150,619 "
AXIS FAMILY RESOURCES LTD.,"208,705 "
"AYOTTE, JEREMY BRIAN","142,511 "
AZIMUTH CONSULTING GROUP PARTNERSHIP,"41,629 "
AZIMUTH FORESTRY & MAPPING SOLUTIONS LTD,"475,870 "
AZMETH FOREST CONSULTANTS LTD.,"88,095 "
AZURA FORMETRICS,"172,451 "
B & S CONSTRUCTION,"61,230 "
B A DAWSON BLACKTOP LTD.,"3,965,753 "
B C GRANTS,"204,291,971 "
B C INNOVATION COUNCIL,"1,010,375 "
B C INTERNATIONAL COMMERCIAL ARBITRATION CENTRE,"48,346 "
B C TRANSIT (VICTORIA),"18,591,750 "
B. A. T. CONSTRUCTION LTD.,"168,593 "
B. B. K. CONTRACTING LTD.,"65,166 "
B. SMALL ENTERPRISES LTD.,"164,298 "
B.A. BLACKTOP LTD.,"1,384,633 "
B.A. BLACKWELL & ASSOCIATES LTD.,"1,169,664 "
B.A. BLACKWELL & ASSOCIATES LTD. (FORESTS FOR TOMORROW ACCOUNT),"61,334 "
B.C. ASSOCIATION OF ABORIGINAL FRIENDSHIP CENTRES,"222,196 "
B.C. MOVING AND STORAGE LTD.,"82,906 "
B.C. TEXTILE INNOVATIONS INC.,"66,176 "
B.C. TURF LTD.,"87,780 "
B.E. CIVIL PROJECTS LTD.,"53,062 "
B.P.R. CONSTRUCTION LTD.,"201,922 "
B.R.A.T. EXPEDITING,"112,610 "
BABIN AIR LTD.,"202,788 "
BACK IN MOTION REHAB INC.,"1,131,706 "
BACK2EARTH ENTERPRISES LTD.,"44,688 "
BACKCOUNTRY TRAIL EXPERTS,"49,660 "
BACKROAD MAPBOOKS,"26,663 "
BAD VENTURES LTD.,"402,910 "
"BAERG, LORRAINE MARTHA","41,675 "
"BAGHA, RAJAN & LOLAND, MARK","58,364 "
"BAGHA, RAJAN & WILSON, DUDLEY","103,220 "
BAILEY HELICOPTERS LTD.,"2,068,702 "
"BAILEY, GUY","141,436 "
"BAINS, PARDEEP KAUR","41,128 "
"BAINS, RAVINDER SINGH & BAINS, SATWINDER KAUR","39,303 "
